,num_guests,quantity_prepared,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,quantity_wasted,waste_ratio,waste_per_guest,food_type_Dairy Products,food_type_Fruits,food_type_Meat,food_type_Vegetables,event_type_Corporate,event_type_Social Gathering,event_type_Wedding
20,220,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30,0.06666666666666667,0.13636363636363635,False,False,True,False,True,False,False
21,220,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,0.05,0.06818181818181818,False,False,False,True,True,False,False
22,350,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,0.07777777777777778,0.1,False,False,True,False,True,False,False
23,400,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,0.08,0.1,False,True,False,False,False,False,True
24,320,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,0.0625,0.078125,False,False,True,False,False,False,True
25,400,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,0.08,0.1,False,True,False,False,False,False,True
26,320,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35,0.0875,0.109375,False,False,False,False,True,False,False
27,400,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40,0.08,0.1,False,False,True,False,False,False,False
28,208,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22,0.07801418439716312,0.10576923076923077,False,False,True,False,False,False,True
29,280,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,True,False,False,False,False
30,380,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25,0.0625,0.06578947368421052,False,False,True,False,True,False,False
31,438,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35,0.07099391480730223,0.07990867579908675,False,False,True,False,True,False,False
32,350,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,0.044444444444444446,0.05714285714285714,False,True,False,False,True,False,False
33,220,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15,0.05,0.06818181818181818,False,False,True,False,True,False,False
34,220,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,0.05,0.06818181818181818,False,True,False,False,True,False,False
35,280,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20,0.05714285714285714,0.07142857142857142,False,False,False,True,False,True,False
36,220,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,0.05,0.06818181818181818,False,False,True,False,True,False,False
37,491,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,0.06438631790744467,0.06517311608961303,False,True,False,False,False,False,True
38,400,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,0.1,0.125,False,True,False,False,False,False,False
39,250,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,0.05714285714285714,0.08,False,False,True,False,False,False,False
40,300,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.0875,0.11666666666666667,False,False,True,False,True,False,False
41,439,459,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39,0.08496732026143791,0.0888382687927107,True,False,False,False,True,False,False
42,240,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,0.044444444444444446,0.08333333333333333,False,True,False,False,True,False,False
43,300,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20,0.05,0.06666666666666667,False,False,False,False,False,False,False
44,280,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,False,True,False,False,True,False,False
45,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,0.08888888888888889,0.11428571428571428,False,True,False,False,False,False,True
46,400,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30,0.06666666666666667,0.075,False,False,True,False,False,True,False
47,434,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36,0.07272727272727272,0.08294930875576037,False,True,False,False,False,False,False
48,300,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15,0.0375,0.05,False,True,False,False,True,False,False
49,290,374,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27,0.07219251336898395,0.09310344827586207,False,True,False,False,False,True,False
50,300,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,0.05,0.06666666666666667,True,False,False,False,False,False,False
51,320,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,0.1,0.125,False,False,True,False,False,True,False
52,320,400,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,0.05,0.0625,False,False,False,False,False,False,False
53,400,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,0.09,0.1125,False,False,True,False,False,True,False
54,280,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,False,True,False,False,False
55,380,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,0.07,0.09210526315789473,False,False,False,False,True,False,False
56,380,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,0.0625,0.07894736842105263,False,False,True,False,False,False,False
57,400,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,0.1,0.125,False,False,True,False,False,False,True
58,320,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30,0.075,0.09375,False,False,True,False,False,False,False
59,280,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,0.04285714285714286,0.05357142857142857,False,False,False,True,False,False,True
60,320,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,0.1,0.125,False,False,False,True,False,False,False
61,250,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,0.02857142857142857,0.04,False,True,False,False,False,True,False
62,350,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.07777777777777778,0.1,False,False,False,True,True,False,False
63,250,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40,0.11428571428571428,0.16,False,False,True,False,False,False,True
64,280,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,False,True,True,False,False
65,450,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30,0.06,0.06666666666666667,False,False,False,False,False,False,False
66,250,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,10,0.02857142857142857,0.04,True,False,False,False,False,True,False
67,230,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,30,0.06,0.13043478260869565,False,True,False,False,False,False,True
68,320,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,0.0625,0.078125,False,False,False,False,False,False,False
69,442,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32,0.06639004149377593,0.07239819004524888,False,False,False,False,False,False,True
70,250,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,0.1,0.14,False,False,False,False,False,False,False
71,310,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35,0.1,0.11290322580645161,False,False,False,True,False,True,False
72,320,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,0.075,0.09375,False,True,False,False,False,True,False
73,350,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30,0.06666666666666667,0.08571428571428572,True,False,False,False,True,False,False
74,400,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,0.1,0.125,False,False,True,False,False,True,False
75,320,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,0.0875,0.109375,False,True,False,False,True,False,False
76,350,450,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,35,0.07777777777777778,0.1,False,False,False,True,False,False,True
77,280,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,True,False,False,True,False
78,350,450,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,40,0.08888888888888889,0.11428571428571428,False,False,True,False,False,True,False
79,302,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27,0.07277628032345014,0.08940397350993377,False,False,False,False,False,True,False
80,438,493,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35,0.07099391480730223,0.07990867579908675,False,True,False,False,True,False,False
81,310,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,0.1,0.11290322580645161,False,False,False,False,True,False,False
82,320,400,Room Temperature,Regular,Summer,Buffet,Rural,High,40,0.1,0.125,True,False,False,False,False,True,False
83,300,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,0.0375,0.05,False,True,False,False,False,False,False
84,280,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,False,False,False,False,False
85,400,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,0.05,0.0625,True,False,False,False,True,False,False
86,250,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,0.05714285714285714,0.08,False,False,False,True,True,False,False
87,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,0.1,0.12857142857142856,False,True,False,False,True,False,False
88,300,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,0.1,0.13333333333333333,True,False,False,False,True,False,False
89,350,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,25,0.05555555555555555,0.07142857142857142,False,True,False,False,True,False,False
90,380,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.07,0.09210526315789473,False,False,False,False,True,False,False
91,250,480,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,0.041666666666666664,0.08,True,False,False,False,True,False,False
92,300,400,Room Temperature,Regular,Summer,Buffet,Suburban,High,30,0.075,0.1,True,False,False,False,False,True,False
93,250,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,20,0.05714285714285714,0.08,False,True,False,False,False,False,True
94,400,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,0.08,0.1,False,True,False,False,False,True,False
95,300,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,0.0625,0.08333333333333333,False,False,False,False,True,False,False
96,300,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,0.1,0.13333333333333333,False,False,True,False,False,True,False
97,350,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,0.1,0.12857142857142856,False,True,False,False,False,True,False
98,280,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,True,False,False,False,True,False,False
99,380,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.07,0.09210526315789473,False,True,False,False,False,True,False
100,240,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,0.044444444444444446,0.08333333333333333,True,False,False,False,False,False,False
101,397,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31,0.06431535269709543,0.07808564231738035,False,False,False,False,False,False,True
102,320,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,0.0625,0.078125,False,False,False,False,False,False,False
103,320,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25,0.0625,0.078125,True,False,False,False,True,False,False
104,400,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,30,0.06,0.075,False,False,False,True,False,True,False
105,220,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,0.05,0.06818181818181818,True,False,False,False,True,False,False
106,350,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,0.05555555555555555,0.07142857142857142,True,False,False,False,False,False,True
107,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,0.05555555555555555,0.07142857142857142,False,False,False,False,True,False,False
108,300,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,0.0375,0.05,False,False,False,False,False,True,False
109,350,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.07777777777777778,0.1,False,False,False,False,False,True,False
110,250,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20,0.05714285714285714,0.08,True,False,False,False,False,True,False
111,250,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,0.05714285714285714,0.08,False,False,False,False,False,False,False
112,400,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,0.08,0.1,False,False,False,True,False,True,False
113,290,374,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27,0.07219251336898395,0.09310344827586207,False,False,False,True,False,True,False
114,280,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,0.07142857142857142,0.08928571428571429,True,False,False,False,False,True,False
115,350,450,Refrigerated,Regular,Summer,Buffet,Urban,High,40,0.08888888888888889,0.11428571428571428,False,False,False,True,True,False,False
116,267,480,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,30,0.0625,0.11235955056179775,False,True,False,False,False,False,True
117,290,374,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,27,0.07219251336898395,0.09310344827586207,False,True,False,False,False,False,False
118,300,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,0.07777777777777778,0.11666666666666667,False,True,False,False,False,False,True
119,400,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,0.1,0.125,False,False,True,False,False,False,True
120,250,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,30,0.08571428571428572,0.12,False,True,False,False,False,False,False
121,310,350,Refrigerated,Regular,Summer,Finger Food,Rural,High,35,0.1,0.11290322580645161,False,False,False,True,False,False,False
122,290,374,Refrigerated,Regular,Summer,Finger Food,Rural,Low,27,0.07219251336898395,0.09310344827586207,False,False,True,False,False,True,False
123,250,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,0.11428571428571428,0.16,False,False,True,False,False,False,False
124,220,300,Room Temperature,Regular,Summer,Buffet,Suburban,Low,10,0.03333333333333333,0.045454545454545456,False,False,False,False,False,False,True
125,400,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,0.09,0.1125,False,False,True,False,False,False,False
126,250,350,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10,0.02857142857142857,0.04,False,False,False,True,True,False,False
127,350,450,Refrigerated,Regular,Summer,Finger Food,Urban,High,30,0.06666666666666667,0.08571428571428572,False,False,False,True,True,False,False
128,300,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,0.05,0.06666666666666667,False,False,True,False,False,False,False
129,250,350,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.08,False,False,True,False,False,False,False
130,261,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,23,0.06571428571428571,0.08812260536398467,False,False,True,False,False,False,True
131,400,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,30,0.06,0.075,False,False,True,False,False,False,True
132,350,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,0.08888888888888889,0.11428571428571428,False,False,False,True,False,False,True
133,320,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,0.075,0.09375,False,True,False,False,False,True,False
134,300,400,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,15,0.0375,0.05,False,True,False,False,False,False,True
135,280,350,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,0.04285714285714286,0.05357142857142857,False,False,False,True,False,False,False
136,220,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,23,0.07666666666666666,0.10454545454545454,False,False,True,False,False,False,True
137,300,400,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,0.0375,0.05,False,False,False,True,True,False,False
138,250,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,0.07142857142857142,0.1,False,False,True,False,False,False,True
139,280,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,False,False,False,True,False
140,380,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,0.0625,0.06578947368421052,False,False,False,False,False,True,False
141,320,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,0.0875,0.109375,True,False,False,False,True,False,False
142,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,0.06666666666666667,0.08571428571428572,False,False,False,False,False,False,False
143,230,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30,0.06,0.13043478260869565,True,False,False,False,True,False,False
144,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,0.08888888888888889,0.11428571428571428,False,False,False,False,False,True,False
145,380,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,0.05,0.06578947368421052,True,False,False,False,False,True,False
146,342,405,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29,0.07160493827160494,0.0847953216374269,True,False,False,False,False,True,False
147,400,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,0.08,0.1,False,True,False,False,False,False,True
148,275,388,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,16,0.041237113402061855,0.05818181818181818,False,False,False,True,False,False,True
149,220,300,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,0.05,0.06818181818181818,False,False,False,True,False,True,False
150,280,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25,0.0625,0.08928571428571429,False,False,False,False,False,False,True
151,400,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,40,0.08,0.1,False,False,False,True,True,False,False
152,220,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,0.05,0.06818181818181818,False,False,False,False,False,False,True
153,400,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,0.08,0.1,False,False,False,False,False,False,True
154,400,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25,0.05,0.0625,True,False,False,False,False,False,True
155,350,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,0.07777777777777778,0.1,False,False,True,False,False,True,False
156,300,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,35,0.07777777777777778,0.11666666666666667,True,False,False,False,True,False,False
157,300,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,0.07777777777777778,0.11666666666666667,False,True,False,False,True,False,False
158,472,489,Room Temperature,Regular,Summer,Buffet,Urban,Low,36,0.0736196319018405,0.07627118644067797,True,False,False,False,False,True,False
159,397,482,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,31,0.06431535269709543,0.07808564231738035,False,True,False,False,False,False,True
160,439,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39,0.08496732026143791,0.0888382687927107,True,False,False,False,False,False,False
161,220,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15,0.05,0.06818181818181818,False,False,False,True,True,False,False
162,220,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,0.05,0.06818181818181818,False,True,False,False,False,False,False
163,220,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,0.05,0.06818181818181818,False,True,False,False,False,False,False
164,300,420,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,0.047619047619047616,0.06666666666666667,True,False,False,False,True,False,False
165,400,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,0.1,0.125,False,False,False,False,True,False,False
166,280,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,False,False,False,False,True,False,False
167,350,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,0.07777777777777778,0.1,False,False,False,False,False,False,True
168,350,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,0.08888888888888889,0.11428571428571428,False,False,False,False,True,False,False
169,400,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,0.1,0.0875,True,False,False,False,False,False,True
170,350,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,0.1,0.12857142857142856,False,False,True,False,False,True,False
171,250,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.08,False,True,False,False,False,True,False
172,350,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,0.05555555555555555,0.07142857142857142,False,False,False,False,True,False,False
173,290,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,0.07219251336898395,0.09310344827586207,True,False,False,False,False,True,False
174,400,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,0.1,0.0875,True,False,False,False,False,False,True
175,280,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,0.05714285714285714,0.07142857142857142,True,False,False,False,True,False,False
176,400,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,0.05,0.0625,True,False,False,False,True,False,False
177,400,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,45,0.09,0.1125,False,False,True,False,False,False,True
178,320,400,Room Temperature,Regular,Winter,Buffet,Rural,High,30,0.075,0.09375,False,False,False,False,False,False,False
179,310,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25,0.05555555555555555,0.08064516129032258,False,True,False,False,True,False,False
180,220,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,15,0.05,0.06818181818181818,False,False,False,True,False,False,True
181,367,420,Refrigerated,Regular,Summer,Buffet,Urban,Low,40,0.09523809523809523,0.10899182561307902,False,False,False,True,False,True,False
182,350,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25,0.05555555555555555,0.07142857142857142,False,False,True,False,False,False,False
183,250,500,Room Temperature,Regular,Winter,Buffet,Urban,High,40,0.08,0.16,True,False,False,False,False,False,True
184,472,489,Room Temperature,Regular,Winter,Buffet,Urban,Low,36,0.0736196319018405,0.07627118644067797,True,False,False,False,True,False,False
185,250,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,0.02857142857142857,0.04,False,False,False,False,False,False,True
186,220,450,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,0.044444444444444446,0.09090909090909091,False,True,False,False,False,True,False
187,380,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,0.0625,0.07894736842105263,False,False,False,True,True,False,False
188,220,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,0.05,0.06818181818181818,False,False,True,False,True,False,False
189,400,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,0.08,0.1,False,True,False,False,False,False,True
190,380,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25,0.0625,0.06578947368421052,False,True,False,False,False,False,False
191,250,350,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20,0.05714285714285714,0.08,False,False,False,False,False,False,False
192,350,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,0.05555555555555555,0.07142857142857142,False,False,True,False,False,False,False
193,491,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32,0.06438631790744467,0.06517311608961303,False,True,False,False,False,False,False
194,380,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30,0.0625,0.07894736842105263,False,True,False,False,False,False,False
195,292,470,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,0.10638297872340426,0.17123287671232876,False,False,True,False,False,True,False
196,400,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,25,0.05,0.0625,False,False,False,True,False,False,False
197,300,450,Room Temperature,Regular,Summer,Finger Food,Suburban,High,35,0.07777777777777778,0.11666666666666667,False,False,False,False,False,False,False
198,220,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,0.05,0.06818181818181818,False,False,False,False,False,False,True
199,250,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,0.02857142857142857,0.04,True,False,False,False,True,False,False
200,220,300,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15,0.05,0.06818181818181818,False,False,False,False,True,False,False
201,230,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,0.04,0.08695652173913043,False,True,False,False,True,False,False
202,320,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25,0.0625,0.078125,False,False,False,True,False,False,False
203,450,500,Room Temperature,Occasional,Summer,Finger Food,Urban,High,30,0.06,0.06666666666666667,False,False,False,False,True,False,False
204,400,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,0.08,0.1,False,True,False,False,True,False,False
